order,note_id,status,text,tokens,new_tokens
1,1777322825629,KEEP,¿Qué quieres ahora mismo?,ahora | mismo | querer | qué,ahora | mismo | querer | qué
2,1777322849008,KEEP,¿De dónde vienes ahora?,ahora | de | dónde | vién,de | dónde | vién
3,1777322871442,KEEP,No vienes hoy a la reunión,a | el | hoy | no | reunión | venir,a | el | hoy | no | reunión | venir
4,1777322914830,KEEP,¿A qué hora llegas mañana?,a | hora | llegar | mañana | qué,hora | llegar | mañana
5,1777322934347,KEEP,La puerta no está cerrada todavía,cerrado | el | estar | no | puerta | todavía,cerrado | estar | puerta | todavía
6,1777322943038,KEEP,El tren sale siempre temprano,el | salir | siempre | temprano | tren,salir | siempre | temprano | tren
7,1777322964058,KEEP,Es verdad que no vienes hoy?,hoy | no | que | ser | venir | verdad,que | ser | verdad
8,1777322977165,KEEP,Y nunca dijiste nada ayer,ayer | dijistir | nada | nunca | y,ayer | dijistir | nada | nunca | y
9,1777323013562,KEEP,En verano siempre viajas más,en | más | siempre | verano | viajar,en | más | verano | viajar
10,1777323021490,KEEP,Lo sabes pero no lo dices,decir | no | pero | saber | él,decir | pero | saber | él
11,1777323065159,KEEP,¿Por qué no lo hiciste por mí?,hacer | no | por | qué | yo | él,hacer | por | yo
12,1777323072081,KEEP,¿Qué no entiendes todavía?,entender | no | qué | todavía,entender
13,1777323124159,KEEP,Una vez no llegaste a tiempo,a | llegar | no | tiempo | uno | vez,tiempo | uno | vez
14,1777323131907,KEEP,Te dije que no vinieras hoy,decir | hoy | no | que | tú | vinierar,tú | vinierar
15,1777323147771,KEEP,Los libros nunca están aquí,aquí | el | estar | libro | nunca,aquí | libro
16,1777323155190,KEEP,Se levanta temprano cada día,cada | día | levantar | temprano | él,cada | día | levantar
17,1777323228278,KEEP,Con amigos nunca estás solo,amigo | con | estar | nunca | solo,amigo | con | solo
18,1777323245078,KEEP,Para mañana no está listo todavía,estar | listo | mañana | no | para | todavía,listo | para
19,1777323259590,KEEP,Mi teléfono nunca suena hoy,hoy | mi | nunca | sonar | teléfono,mi | sonar | teléfono
20,1777323290120,KEEP,¿Está listo el informe ahora?,ahora | el | estar | informe | listo,informe
21,1777323312646,KEEP,Sí vienes mañana a clase,a | clase | mañana | sí | venir,clase | sí
22,1777323329115,KEEP,¿Estás bien hoy o no?,bien | estar | hoy | no | o,bien | o
23,1777323343379,KEEP,Pero no vienes nunca temprano,no | nunca | pero | temprano | vienar,vienar
24,1777323372807,KEEP,Eso no lo entiendes todavía,entender | ese | no | todavía | él,ese
25,1777323405957,KEEP,Las llaves nunca están aquí,aquí | el | estar | llave | nunca,llave
26,1777323414463,KEEP,Sí vienes mañana sin excusas,excusa | mañana | sin | sí | venir,excusa | sin
27,1777323512867,KEEP,Su coche nunca está limpio hoy,coche | estar | hoy | limpio | nunca | su,coche | limpio | su
28,1777323580846,KEEP,Tu no vienes aquí ahora,ahora | aquí | no | tu | vienar,tu
29,1777323588170,KEEP,Aquí no hay nada hoy,aquí | haber | hoy | nada | no,haber
30,1777323608029,KEEP,Del trabajo ya no hablas,del | hab él | no | trabajo | ya,del | hab él | trabajo | ya
31,1777323616547,KEEP,Al llegar nunca dices nada,al | diz | llegar | nada | nunca,al | diz
32,1777323622346,KEEP,"Como no vienes, espero aquí",aquí | como | esperar | no | vienar,como | esperar
33,1777323644639,KEEP,Esto no lo entiendes bien,bien | entiend | este | no | él,entiend | este
34,1777323654004,KEEP,Ya no vienes como antes,antes | como | no | vienar | ya,antes
35,1777323664929,KEEP,Todo está listo ahora mismo,ahora | estar | listo | mismo | todo,todo
36,1777323675133,KEEP,Esta vez no fallas nunca,este | fallar | no | nunca | vez,fallar
37,1777323701986,KEEP,Vamos ahora sin esperar más,ahora | esperar | ir | más | sin,ir
38,1777323711609,KEEP,Muy bien no lo haces hoy,bien | hacer | hoy | mucho | no | él,mucho
39,1777323723545,KEEP,Hay algo que no entiendes,algo | entiend | haber | no | que,algo
40,1777323730244,KEEP,Ahora no puedes salir,ahora | no | poder | salir,poder
41,1777323738447,KEEP,Algo no funciona aquí,algo | aquí | funcionar | no,funcionar
42,1777323746540,KEEP,Estoy aquí pero no hablo,aquí | estar | hablar | no | pero,hablar
43,1777323752147,KEEP,Tengo algo que decir ahora,ahora | algo | decir | que | tener,tener
44,1777323760665,KEEP,Nos ves pero no hablas,hab él | no | pero | ver | yo,ver
45,1777323875850,KEEP,Nada ocurre aquí ahora,ahora | aquí | nada | ocurrir,ocurrir
46,1777323883506,KEEP,"Cuando vienes, ya me voy",cuando | ir | venir | ya | yo,cuando
47,1777323891015,KEEP,Ha terminado el trabajo hoy,el | haber | hoy | terminar | trabajo,terminar
48,1777323923334,KEEP,Este problema no es fácil,este | fácil | no | problema | ser,fácil | problema
49,1777323977219,KEEP,Así no vienes nunca temprano,así | no | nunca | temprano | vienar,así
50,1777324006330,KEEP,Puedo venir ahora si quieres,ahora | poder | querer | si | venir,si
51,1777363608628,KEEP,¿Puedo abrir la ventana ahora?,abrir | ahora | el | poder | ventana,abrir | ventana
52,1777363622980,KEEP,¿Cómo resolviste ese problema ayer?,ayer | cómo | ese | problema | resolvistar,cómo | resolvistar
53,1777363630185,KEEP,Quiero aprender español este año,aprender | año | español | este | querer,aprender | año | español
54,1777363636441,KEEP,Sólo necesito cinco minutos más,minuto | más | necesitar | sólo,minuto | necesitar | sólo
55,1777363646753,KEEP,Soy responsable de este proyecto,de | este | proyecto | responsable | ser,proyecto | responsable
56,1777363671930,KEEP,Gracias por ayudarme con eso,ayudar yo | con | ese | gracias | por,ayudar yo | gracias
57,1777363680000,KEEP,¿Prefieres café o té caliente?,café | caliente | o | prefieres | té,café | caliente | prefieres | té
