order,note_id,status,front_text,tokens,new_tokens
1,1774120163553,KEEP,あなたは本当に優しい人ですね,人 | 優しい | 本当,人 | 優しい | 本当
2,1774120171620,KEEP,私の趣味は週末に絵を描くことです,事 | 描く | 絵 | 趣味 | 週末,事 | 描く | 絵 | 趣味 | 週末
3,1774120182437,KEEP,名前を聞いてもいいですか,名前 | 聞く | 良い,名前 | 聞く | 良い
4,1774120207438,KEEP,昨日の夜、何を食べましたか,夜 | 昨日 | 食べる,夜 | 昨日 | 食べる
5,1774120216722,KEEP,来週はどこに旅行しますか,旅行 | 来週 | 為る,旅行 | 来週 | 為る
6,1774120228005,KEEP,私は東京で生まれました,トウキョウ | 生まれる,トウキョウ | 生まれる
7,1774120243020,KEEP,彼は大阪から来ました,オオサカ | 来る,オオサカ | 来る
8,1774120262181,KEEP,将来は海外に住みたいです,住む | 将来 | 海外,住む | 将来 | 海外
9,1774120268968,KEEP,私のお気に入りの映画はアクションです,アクション-action | 入る | 映画 | 気,アクション-action | 入る | 映画 | 気
10,1774120281662,KEEP,日本の食べ物は本当に美味しいです,日本 | 本当 | 美味しい | 食べ物,日本 | 美味しい | 食べ物
11,1774120299321,KEEP,この本には全ての項目が一覧されています,一覧 | 全て | 居る | 本 | 為る | 項目,一覧 | 全て | 居る | 本 | 項目
12,1774120319263,KEEP,音楽を聞くと気分が落ち着きます,気分 | 聞く | 落ち着く | 音楽,気分 | 落ち着く | 音楽
13,1774120328318,KEEP,来月、友達と旅行します,友達 | 旅行 | 来月 | 為る,友達 | 来月
14,1774196649482,KEEP,彼女は誰にでも親切です,親切,親切
15,1774196682899,KEEP,あの人はとても面白いです,人 | 面白い,面白い
16,1774196698075,DUPLICATE,これは本当に大切なことです,事 | 本当,
17,1774196727754,KEEP,毎朝、絵を描くことを楽しみます,事 | 描く | 楽しむ | 毎朝 | 絵,楽しむ | 毎朝
18,1774196760774,KEEP,週末は家族と過ごします,家族 | 週末 | 過ごす,家族 | 過ごす
19,1774196783855,KEEP,道を尋ねてもいいですか,尋ねる | 良い | 道,尋ねる | 道
20,1774196803196,KEEP,昨夜は映画を見ました,映画 | 昨夜 | 見る,昨夜 | 見る
21,1774196821700,KEEP,来週、新しい仕事を始めます,仕事 | 始める | 新しい | 来週,仕事 | 始める | 新しい
22,1774196842735,KEEP,来年、海外で勉強したいです,勉強 | 来年 | 海外 | 為る,勉強 | 来年
23,1774196863123,KEEP,未来のために今、努力します,今 | 努力 | 未来 | 為 | 為る,今 | 努力 | 未来 | 為
24,1774197173164,KEEP,この映画はアクションが多いです,アクション-action | 多い | 映画,多い
25,1774197219410,KEEP,リストの項目を一つずつ確認してください,リスト-list | 一 | 下さる | 為る | 確認 | 項目,リスト-list | 一 | 下さる | 確認
26,1774197242279,KEEP,全ての宿題を終わらせました,全て | 宿題 | 終わる,宿題 | 終わる
27,1774197262443,KEEP,深呼吸すると心が落ち着きます,呼吸 | 心 | 為る | 落ち着く,呼吸 | 心
28,1774197311256,KEEP,雨の日は気分が沈みます,日 | 気分 | 沈む | 雨,日 | 沈む | 雨
29,1774197329640,KEEP,週末に友達と遊びます,友達 | 週末 | 遊ぶ,遊ぶ
30,1774303473882,KEEP,彼女は毎日ここで働いています,働く | 居る | 毎日,働く | 毎日
31,1774303493724,KEEP,その問題はまだ解決していません,問題 | 居る | 為る | 解決,問題 | 解決
32,1774303518014,DUPLICATE,これは本当に重要ですか,本当,
33,1774303545138,KEEP,朝はコーヒーを飲みません,コーヒー-coffee | 朝 | 飲む,コーヒー-coffee | 朝 | 飲む
34,1774303563168,KEEP,私は一人の時間を楽しみます,一人 | 時間 | 楽しむ,一人 | 時間
35,1774303583035,KEEP,駅までの道順を教えてください,下さる | 教える | 道順 | 駅,教える | 道順 | 駅
36,1774303604210,KEEP,家族と一緒に夕食を食べます,一緒 | 夕食 | 家族 | 食べる,一緒 | 夕食
37,1774303624336,KEEP,休みの日はどう過ごしますか,休み | 日 | 過ごす,休み
38,1774303645324,KEEP,今の仕事は楽しくありません,今 | 仕事 | 有る | 楽しい,有る | 楽しい
39,1774303674533,KEEP,新しい携帯を買いました,携帯 | 新しい | 買う,携帯 | 買う
40,1774303736127,KEEP,昨日は忙しくなかったです,忙しい | 昨日 | 無い,忙しい | 無い
41,1774303766954,DUPLICATE,宿題をもう終わりましたか,宿題 | 終わる,
42,1774303793278,KEEP,会議はまだ終わっていません,会議 | 居る | 終わる,会議
43,1774303871280,KEEP,その話には深い意味があります,意味 | 有る | 深い | 話,意味 | 深い | 話
44,1774303887828,KEEP,ゆっくり呼吸すると楽になります,呼吸 | 成る | 楽 | 為る,成る | 楽
45,1774303908057,DUPLICATE,心はいつも穏やかではありません,心 | 有る,
46,1774303925215,KEEP,今日は気温が低いです,今日 | 低い | 気温,今日 | 低い | 気温
47,1774304009814,DUPLICATE,今日はどんな日でしたか,今日 | 日,
48,1774304040434,KEEP,雨の日でも走りますか,日 | 走る | 雨,走る
49,1774304059279,KEEP,放課後に友達と遊びます,友達 | 放課 | 遊ぶ,放課
50,1775388410220,KEEP,このボトルをもう捨てた?,ボトル-bottle | 捨てる,ボトル-bottle | 捨てる
51,1775388438968,KEEP,その椅子に座ってもいい?,座る | 椅子 | 良い,座る | 椅子
52,1775388463618,KEEP,新しいテーブルをリビングに置いた,テーブル-table | リビング-living | 新しい | 置く,テーブル-table | リビング-living | 置く
53,1775388499962,KEEP,コーヒーにスプーンを使って砂糖を混ぜた,コーヒー-coffee | スプーン-spoon | 交ぜる | 使う | 砂糖,スプーン-spoon | 交ぜる | 使う | 砂糖
54,1775388543848,KEEP,毎朝このマグカップで紅茶を飲む,カップ-cup | マグ-mug | 毎朝 | 紅茶 | 飲む,カップ-cup | マグ-mug | 紅茶
55,1775388558690,KEEP,新しいヘッドフォンで音楽を聴いている,ヘッドホン-headphone | 居る | 新しい | 聞く | 音楽,ヘッドホン-headphone
56,1775388582772,KEEP,そのペンで手紙を書いてみた,ペン-pen | 手紙 | 書く | 見る,ペン-pen | 手紙 | 書く
57,1775388604427,KEEP,彼は鉛筆でスケッチを描くのが得意だ,スケッチ-sketch | 得意 | 描く | 鉛筆,スケッチ-sketch | 得意 | 鉛筆
58,1775388625410,KEEP,毎日新しいアイデアをノートに書く,アイディア-idea | ノート-note | 新しい | 書く | 毎日,アイディア-idea | ノート-note
59,1775388653258,KEEP,その紙に重要なメモを書き留めた,メモ-memo | 書き留める | 紙,メモ-memo | 書き留める | 紙
60,1775388679974,KEEP,新しいノートパソコンで仕事を始めた,ノート-note | パソコン-personal computer | 仕事 | 始める | 新しい,パソコン-personal computer
61,1775388705956,KEEP,子供はノートにカラフルなステッカーを貼った,ステッカー-sticker | ノート-note | 子供 | 張る,ステッカー-sticker | 子供 | 張る
62,1775388718922,KEEP,毎朝コップ一杯の水を飲む,コップ-kop | 一杯 | 毎朝 | 水 | 飲む,コップ-kop | 一杯 | 水
63,1775388745486,KEEP,新しいスマートフォンで写真を撮った,フォン-fond | 写真 | 取る | 新しい,フォン-fond | 写真 | 取る
64,1775388797672,KEEP,彼は黒いコートをよく着る,コート-coat | 着る | 黒い,コート-coat | 着る | 黒い
65,1775388826751,KEEP,彼女は白いドレスを着てパーティーに行った,ドレス-dress | パーティー-party | 白い | 着る | 行く,ドレス-dress | パーティー-party | 白い | 行く
66,1775388841856,KEEP,その部屋の壁は紫色に塗られている,塗る | 壁 | 居る | 紫色 | 部屋,塗る | 壁 | 紫色 | 部屋
67,1775388869090,KEEP,彼は黄色の帽子をかぶって外に出た,出る | 外 | 帽子 | 被る | 黄色,出る | 外 | 帽子 | 被る | 黄色
68,1775388897498,KEEP,公園の木々は緑色でいっぱいだ,一杯 | 公園 | 木々 | 緑色,公園 | 木々 | 緑色
69,1775388913087,KEEP,彼女は赤い靴を買ったばかりだ,買う | 赤い | 靴,赤い | 靴
70,1775388946146,KEEP,空は今日とても青い,今日 | 空 | 青い,空 | 青い
71,1775388982575,KEEP,彼は茶色の靴を毎日履いている,居る | 履く | 毎日 | 茶色 | 靴,履く | 茶色
72,1775389007262,KEEP,彼女は金色の指輪を誇らしげに見せた,指輪 | 見せる | 誇らしい | 金色,指輪 | 見せる | 誇らしい | 金色
73,1775389025856,KEEP,その時計は銀色で光っている,光る | 居る | 時計 | 銀色,光る | 時計 | 銀色
74,1775389040053,KEEP,彼女は母からもらったネックレスをつけた,ネックレス-necklace | 付ける | 母 | 貰う,ネックレス-necklace | 付ける | 母 | 貰う
75,1775389067831,KEEP,新しいキーボードで速くタイピングできる,キーボード-keyboard | タイピング | 出来る | 新しい | 早い,キーボード-keyboard | タイピング | 出来る | 早い
76,1775389106140,KEEP,朝食にオレンジを一つ食べた,オレンジ-orange | 一 | 朝食 | 食べる,オレンジ-orange | 朝食
77,1775389143159,KEEP,毎朝トーストで朝食を済ませる,トースト-toast | 朝食 | 毎朝 | 済む,トースト-toast | 済む
78,1775389293444,KEEP,今夜は家族と一緒に夕食を食べる,一緒 | 今夜 | 夕食 | 家族 | 食べる,今夜
79,1775389320776,KEEP,今日は公園でサンドイッチを昼食に食べた,サンドイッチ-sandwich | 今日 | 公園 | 昼食 | 食べる,サンドイッチ-sandwich | 昼食
80,1775389386451,KEEP,鍵は引き出しの中にしまってある,中 | 仕舞う | 引き出し | 有る | 鍵,中 | 仕舞う | 引き出し | 鍵
81,1775389409379,DUPLICATE,旅行中にたくさんの写真を撮った,写真 | 取る | 旅行,
82,1775389452239,KEEP,机の上に古いコインが置いてある,コイン-coin | 上 | 古い | 有る | 机 | 置く,コイン-coin | 上 | 古い | 机
83,1775389479273,KEEP,誕生日に友達から素敵な贈り物をもらった,友達 | 日 | 誕生 | 貰う | 贈り物,誕生 | 贈り物
84,1775389494420,KEEP,明日来るかどうか、確かですか,明日 | 来る,明日
85,1775389521431,KEEP,新しいケーブルでスマホを充電した,ケーブル-cable | スマホ | 充電 | 新しい | 為る,ケーブル-cable | スマホ | 充電
86,1775389548139,KEEP,この部屋にはコンセントが二つある,コンセント-consent | 二 | 有る | 部屋,コンセント-consent | 二
87,1775389574172,KEEP,彼女は長い髪を毎朝とかす,毎朝 | 溶かす | 長い | 髪,溶かす | 長い | 髪
88,1775389593418,KEEP,子供たちは床で遊んでいる,子供 | 居る | 床 | 遊ぶ,床
89,1775389616760,KEEP,リビングの壁に新しい絵を掛けた,リビング-living | 壁 | 掛ける | 新しい | 絵,掛ける
90,1775389629566,KEEP,窓を開けて新鮮な空気を入れた,入れる | 空気 | 窓 | 開ける,入れる | 空気 | 窓 | 開ける
91,1775389657847,KEEP,机の上に新しいカレンダーを置いた,カレンダー-calendar | 上 | 新しい | 机 | 置く,カレンダー-calendar
92,1775389705783,KEEP,夜、ベッドのそばにランプをつけた,ベッド-bed | ランプ-lamp | 付ける | 側 | 夜,ベッド-bed | ランプ-lamp | 側
93,1775389733091,KEEP,新しいワードローブに服を全部入れた,ワードローブ-wardrobe | 入れる | 全部 | 新しい | 服,ワードローブ-wardrobe | 全部 | 服
94,1775389748825,KEEP,朝ごはんにオレンジジュースを飲んだ,オレンジ-orange | ジュース-juice | 朝御飯 | 飲む,ジュース-juice | 朝御飯
95,1775389855972,KEEP,彼女は赤い色で爪を塗った,塗る | 爪 | 色 | 赤い,爪 | 色
96,1775389880221,KEEP,窓に新しいカーテンを取り付けた,カーテン-curtain | 取り付ける | 新しい | 窓,カーテン-curtain | 取り付ける
97,1775389907386,KEEP,疲れたのでベッドで少し休んだ,ベッド-bed | 休む | 疲れる,休む | 疲れる
98,1775389926320,KEEP,寒い夜に暖かい毛布をかけた,夜 | 寒い | 掛ける | 毛布 | 温かい,寒い | 毛布 | 温かい
99,1775389953277,KEEP,枕を高くして眠るのが好きだ,枕 | 為る | 眠る | 高い,枕 | 眠る | 高い
100,1775389976251,KEEP,新しいシーツでベッドを整えた,シート-sheet | ベッド-bed | 整える | 新しい,シート-sheet | 整える
101,1775389992883,KEEP,夏はビーチサンダルで海に行く,サンダル-sandal | ビーチ-beach | 夏 | 海 | 行く,サンダル-sandal | ビーチ-beach | 夏 | 海
102,1775390024397,KEEP,新しい靴で公園を歩いた,公園 | 新しい | 歩く | 靴,歩く
103,1775390051352,KEEP,冬になると暖かいブーツを履く,ブーツ-boots | 冬 | 履く | 成る | 温かい,ブーツ-boots | 冬
104,1775390072295,KEEP,旅行のために大きなリュックサックを準備した,リュックサック-rucksack | 旅行 | 準備 | 為 | 為る,リュックサック-rucksack | 準備
105,1775390091726,KEEP,空港で新しいスーツケースを引いた,スーツケース-suitcase | 引く-他動詞 | 新しい | 空港,スーツケース-suitcase | 引く-他動詞 | 空港
106,1775390124348,KEEP,毎朝、ゴミを外に出す,出す | 塵 | 外 | 毎朝,出す | 塵
107,1775390150691,KEEP,寒い日には厚い靴下を履く,厚い | 寒い | 履く | 日 | 靴下,厚い | 靴下
108,1775390173879,KEEP,彼は短い休憩の後で戻った,休憩 | 後 | 戻る | 短い,休憩 | 後 | 戻る | 短い
109,1775390196993,KEEP,彼女は新しいブラジャーを買った,ブラジャー-brassiere | 新しい | 買う,ブラジャー-brassiere
110,1775390219827,KEEP,寒い朝に黒いレギンスを履いた,レギンス-leggings | 寒い | 履く | 朝 | 黒い,レギンス-leggings
111,1775390237881,KEEP,冷たい水をグラスに注いだ,ガラス-glass | 冷たい | 水 | 注ぐ,ガラス-glass | 冷たい | 注ぐ
112,1775390293138,KEEP,旅行のために少しお金を貯めた,旅行 | 溜める | 為 | 金,溜める | 金
113,1775390312988,KEEP,家の鍵を机の上に置いた,上 | 家 | 机 | 置く | 鍵,家
114,1775390340085,KEEP,誰かがドアをノックしている,ドア-door | ノック-knock | 居る | 為る,ドア-door | ノック-knock
115,1775390423451,KEEP,天井に新しいライトを取り付けた,ライト-light（光） | 取り付ける | 天井 | 新しい,ライト-light（光） | 天井
116,1775390488959,KEEP,旅行中に新しいカメラで写真を撮った,カメラ-camera | 写真 | 取る | 新しい | 旅行,カメラ-camera
117,1775390514962,KEEP,毎日仕事に小さなバッグを持って行く,バッグ-bag | 仕事 | 持つ | 毎日 | 行く,バッグ-bag | 持つ
118,1775390547946,KEEP,毎晩二時間、英語を勉強する,二 | 勉強 | 時間 | 毎晩 | 為る | 英語,毎晩 | 英語
