order,note_id,status,front_text,tokens,new_tokens
1,1772698386280,KEEP,Pendapat mereka berbeda tentang rencana itu,berbeda | itu | mereka | pendapat | rencana | tentang,berbeda | itu | mereka | pendapat | rencana | tentang
2,1772698401480,KEEP,Dia memberi tahu saya kemarin,dia | kemarin | memberi | saya | tahu,dia | kemarin | memberi | saya | tahu
3,1772698426661,KEEP,Apakah botol itu sudah penuh?,apakah | botol | itu | penuh | sudah,apakah | botol | penuh | sudah
4,1772698436887,KEEP,Dia masih mengejar mimpinya,dia | masih | mengejar | mimpinya,masih | mengejar | mimpinya
5,1772698447581,KEEP,Aku bermimpi tentang laut tadi malam,aku | bermimpi | laut | malam | tadi | tentang,aku | bermimpi | laut | malam | tadi
6,1772698468673,KEEP,Tidak ada rencana yang benar-benar sempurna,ada | benar-benar | rencana | sempurna | tidak | yang,ada | benar-benar | sempurna | tidak | yang
7,1772698488915,KEEP,Kami perlu menyesuaikan jadwal besok,besok | jadwal | kami | menyesuaikan | perlu,besok | jadwal | kami | menyesuaikan | perlu
8,1772698508169,KEEP,Apakah jadwal rapat sudah berubah?,apakah | berubah | jadwal | rapat | sudah,berubah | rapat
9,1772698538639,KEEP,Dia akhirnya menemukan jawabannya,akhirnya | dia | jawabannya | menemukan,akhirnya | jawabannya | menemukan
10,1772698545256,KEEP,Kita makan dulu sebelum berangkat,berangkat | dulu | kita | makan | sebelum,berangkat | dulu | kita | makan | sebelum
11,1772698567070,KEEP,Bus itu berangkat pukul tujuh,berangkat | bus | itu | pukul | tujuh,bus | pukul | tujuh
12,1772698632202,KEEP,Kereta itu tiba pukul delapan,delapan | itu | kereta | pukul | tiba,delapan | kereta | tiba
13,1772698637779,KEEP,Apakah dia benar-benar sudah pergi?,apakah | benar-benar | dia | pergi | sudah,pergi
14,1772710881148,KEEP,Mengapa cerita itu seaneh ini?,cerita | ini | itu | mengapa | seaneh,cerita | ini | mengapa | seaneh
15,1772716696118,KEEP,Kami sedang menyelesaikan masalah besar,besar | kami | masalah | menyelesaikan | sedang,besar | masalah | menyelesaikan | sedang
16,1772716870852,KEEP,Saya lupa namanya tadi pagi,lupa | namanya | pagi | saya | tadi,lupa | namanya | pagi
17,1772716880659,KEEP,Aku akan selalu sayang padamu,akan | aku | padamu | sayang | selalu,akan | padamu | sayang | selalu
18,1772716982338,KEEP,Sayangnya kami belum punya cukup waktu,belum | cukup | kami | punya | sayangnya | waktu,belum | cukup | punya | sayangnya | waktu
19,1772717112686,KEEP,Malangnya rencanaku gagal hari ini,gagal | hari | ini | malangnya | rencanaku,gagal | hari | malangnya | rencanaku
20,1772717148520,KEEP,Kenapa proyek itu gagal kemarin?,gagal | itu | kemarin | kenapa | proyek,kenapa | proyek
21,1772717157902,KEEP,Ia malang sejak kehilangan pekerjaannya,ia | kehilangan | malang | pekerjaannya | sejak,ia | kehilangan | malang | pekerjaannya | sejak
22,1772717198689,KEEP,Sejak kapan kamu tinggal di sini?,di | kamu | kapan | sejak | sini | tinggal,di | kamu | kapan | sini | tinggal
23,1772717240544,KEEP,Kapan kamu akan kembali ke Jakarta?,akan | jakarta | kamu | kapan | ke | kembali,jakarta | ke | kembali
24,1772717268435,KEEP,Dia belum kehilangan harapan sampai sekarang,belum | dia | harapan | kehilangan | sampai | sekarang,harapan | sampai | sekarang
25,1772717280714,KEEP,Kami menunggu sampai hujan berhenti,berhenti | hujan | kami | menunggu | sampai,berhenti | hujan | menunggu
26,1772717289845,KEEP,Apakah kita akan jumpa lagi besok?,akan | apakah | besok | jumpa | kita | lagi,jumpa | lagi
27,1772717311671,KEEP,Apakah masih ada harapan bagi kita?,ada | apakah | bagi | harapan | kita | masih,bagi
28,1772717320282,KEEP,Aku belum sarapan pagi ini,aku | belum | ini | pagi | sarapan,sarapan
29,1772717329815,KEEP,Kita akan bicara nanti malam,akan | bicara | kita | malam | nanti,bicara | nanti
30,1772717344734,KEEP,Aku ingin pergi namun hujan turun,aku | hujan | ingin | namun | pergi | turun,ingin | namun | turun
31,1772717366576,KEEP,Bus itu berhenti di depan sekolah,berhenti | bus | depan | di | itu | sekolah,depan | sekolah
32,1772717389810,KEEP,Apakah mobilmu parkir di depan rumah?,apakah | depan | di | mobilmu | parkir | rumah,mobilmu | parkir | rumah
33,1772717400637,KEEP,Kami akan pindah rumah tahun depan,akan | depan | kami | pindah | rumah | tahun,pindah | tahun
34,1772717407655,KEEP,Aku belum pulang sejak kemarin,aku | belum | kemarin | pulang | sejak,pulang
35,1772717420592,KEEP,Kapan kamu pindah ke kota ini?,ini | kamu | kapan | ke | kota | pindah,kota
36,1772717502905,KEEP,Dia sudah makan sebelum berangkat kerja,berangkat | dia | kerja | makan | sebelum | sudah,kerja
37,1772717542895,KEEP,Kenapa dia terlihat aneh hari ini?,aneh | dia | hari | ini | kenapa | terlihat,aneh | terlihat
38,1772717645795,KEEP,Hari ini terasa sangat panjang,hari | ini | panjang | sangat | terasa,panjang | sangat | terasa
39,1772717657175,KEEP,Teh ini masih hangat sekarang,hangat | ini | masih | sekarang | teh,hangat | teh
40,1772717663665,KEEP,Apakah kamu masih bekerja di sana?,apakah | bekerja | di | kamu | masih | sana,bekerja | sana
41,1772717680166,KEEP,Dia sedang membuat teh hangat,dia | hangat | membuat | sedang | teh,membuat
42,1772717698953,KEEP,Dia tidak marah padamu sekarang,dia | marah | padamu | sekarang | tidak,marah
43,1772717705349,KEEP,Apakah tiket itu masih murah sekarang?,apakah | itu | masih | murah | sekarang | tiket,murah | tiket
44,1772717716139,KEEP,Sekarang aku sedang belajar bahasa Indonesia,aku | bahasa | belajar | indonesia | sedang | sekarang,bahasa | belajar | indonesia
45,1772717722379,KEEP,Kami sudah menunggu sepuluh menit,kami | menit | menunggu | sepuluh | sudah,menit | sepuluh
46,1772717779242,KEEP,Aku sedang menunggu teman di kafe,aku | di | kafe | menunggu | sedang | teman,kafe | teman
47,1772717788009,KEEP,Aku belum minum kopi hari ini,aku | belum | hari | ini | kopi | minum,kopi | minum
